Timestamp,Personality,Number_People
3/26/2023 16:49:50,Introverted,5
3/26/2023 17:07:01,Extroverted,1
3/26/2023 17:25:20,Introverted,4
3/26/2023 17:38:11,Introverted,10
3/26/2023 17:54:01,Introverted,6
3/26/2023 19:50:08,Introverted,3
3/26/2023 19:54:31,Introverted,4
3/26/2023 20:09:49,Introverted,5
3/26/2023 20:17:46,Introverted,5
3/26/2023 20:49:49,Introverted,3
3/26/2023 20:54:48,Extroverted,7
3/26/2023 21:53:15,Extroverted,17
3/26/2023 22:29:04,Extroverted,6
3/26/2023 23:37:16,Extroverted,30
3/26/2023 23:42:35,Introverted,2
3/27/2023 0:37:33,Extroverted,7
3/27/2023 1:27:12,Introverted,2
3/27/2023 17:51:28,Extroverted,9
4/3/2023 13:13:04,Introverted,1
4/3/2023 13:13:24,Introverted,2
4/3/2023 13:24:54,Introverted,2
4/3/2023 13:27:23,Introverted,1
4/3/2023 13:44:24,Introverted,6
4/3/2023 13:44:47,Introverted,3
4/3/2023 13:44:59,Extroverted,8
4/3/2023 13:45:08,Extroverted,6
4/3/2023 13:45:12,Introverted,7
4/3/2023 13:45:28,Extroverted,6
4/3/2023 13:45:32,Introverted,7
4/3/2023 13:45:33,Introverted,20
4/3/2023 13:45:37,Introverted,3
4/3/2023 13:45:41,Introverted,1
4/3/2023 13:46:12,Extroverted,2
4/3/2023 13:46:14,Introverted,4
4/3/2023 13:46:15,Extroverted,10
4/3/2023 13:46:16,Introverted,4
4/3/2023 13:46:37,Extroverted,8
4/3/2023 13:47:13,Introverted,2
4/3/2023 13:47:25,Extroverted,7
4/3/2023 13:52:45,Introverted,4
4/3/2023 13:52:54,Extroverted,3
4/3/2023 13:53:00,Introverted,3
4/3/2023 13:53:05,Extroverted,8
4/3/2023 13:53:12,Extroverted,7
4/3/2023 13:53:18,Introverted,4
4/3/2023 13:53:25,Introverted,3
4/3/2023 13:53:31,Extroverted,7
4/3/2023 13:53:37,Extroverted,9
4/3/2023 13:56:00,Introverted,4
4/3/2023 13:56:08,Extroverted,7
4/3/2023 13:58:57,Extroverted,5
4/3/2023 13:59:02,Introverted,3
4/3/2023 13:59:06,Extroverted,11
4/3/2023 13:59:11,Introverted,4
4/3/2023 13:59:32,Extroverted,1
4/3/2023 13:59:36,Extroverted,2
4/3/2023 13:59:41,Introverted,6
4/3/2023 13:59:47,Extroverted,0
4/3/2023 13:59:52,Introverted,7
4/3/2023 13:59:58,Extroverted,5
4/3/2023 14:00:02,Introverted,4
4/3/2023 14:00:20,Extroverted,5
4/3/2023 14:00:25,Introverted,4
4/3/2023 14:00:31,Extroverted,5
4/3/2023 14:00:35,Introverted,3
4/3/2023 14:00:42,Extroverted,4
4/3/2023 14:00:49,Extroverted,4
4/3/2023 14:00:54,Introverted,5
4/3/2023 14:01:46,Extroverted,10
4/3/2023 14:01:53,Introverted,5
4/3/2023 14:02:11,Introverted,4
4/3/2023 14:02:19,Extroverted,4
4/3/2023 14:02:23,Introverted,5
4/3/2023 14:02:28,Extroverted,4
4/3/2023 14:02:32,Introverted,6
4/3/2023 14:02:37,Extroverted,6
4/3/2023 14:02:43,Extroverted,9
4/3/2023 14:03:43,Introverted,6
4/3/2023 14:04:10,Extroverted,8
4/3/2023 14:04:14,Introverted,5
4/3/2023 14:04:41,Introverted,1
4/3/2023 14:07:21,Introverted,2
4/3/2023 14:07:26,Extroverted,4
4/3/2023 14:07:30,Introverted,5
4/3/2023 14:07:36,Introverted,6
4/3/2023 14:07:39,Introverted,3
4/3/2023 14:07:43,Introverted,1
4/3/2023 14:07:48,Extroverted,4
4/3/2023 14:07:58,Extroverted,3
4/3/2023 14:08:46,Introverted,3
4/3/2023 14:08:55,Extroverted,6
4/3/2023 14:11:14,Introverted,3
4/3/2023 14:11:20,Extroverted,6
4/3/2023 14:11:26,Introverted,4
4/3/2023 14:15:40,Introverted,1
4/3/2023 14:31:14,Extroverted,3
4/3/2023 14:31:14,Extroverted,5
4/3/2023 14:31:38,Extroverted,6
4/3/2023 14:31:56,Extroverted,2
4/3/2023 14:31:56,Extroverted,2
4/3/2023 14:32:08,Introverted,3
4/3/2023 14:32:13,Extroverted,2
4/3/2023 14:32:19,Introverted,5
4/3/2023 14:32:21,Extroverted,6
4/3/2023 14:32:44,Introverted,1